Timestamp,Name,Value
11.770405,"Pressure (psi)",-0.4491392801251983
11.770412,"IMU Yaw Angle (deg)",-0.017823962867259978
11.773323,"Pressure (psi)",-0.4491392801251983
11.773422,"IMU Yaw Angle (deg)",-0.017823962867259978
11.778485,"Pressure (psi)",-0.4491392801251983
11.778493,"IMU Yaw Angle (deg)",-0.017766185268759727
11.780885,"Pressure (psi)",-0.4491392801251983
11.780982,"IMU Yaw Angle (deg)",-0.017766185268759727
11.782936,"Pressure (psi)",-0.4491392801251983
11.782944,"IMU Yaw Angle (deg)",-0.017766185268759727
11.785114,"Pressure (psi)",-0.4491392801251983
11.785121,"IMU Yaw Angle (deg)",-0.017766185268759727
11.789975,"Pressure (psi)",-0.4491392801251983
11.789983,"IMU Yaw Angle (deg)",-0.01808469530940056
11.794985,"Pressure (psi)",-0.4491392801251983
11.794992,"IMU Yaw Angle (deg)",-0.01808469530940056
11.797641,"Pressure (psi)",-0.4491392801251983
11.797649,"IMU Yaw Angle (deg)",-0.01808469530940056
11.801353,"Pressure (psi)",-0.4491392801251983
11.801362,"IMU Yaw Angle (deg)",-0.01917771211266518
11.804435,"Pressure (psi)",-0.4491392801251983
11.804442,"IMU Yaw Angle (deg)",-0.01917771211266518
11.810196,"Pressure (psi)",-0.4491392801251983
11.810937,"IMU Yaw Angle (deg)",-0.019376149579882623
11.816497,"Pressure (psi)",-0.4491392801251983
11.816503,"IMU Yaw Angle (deg)",-0.019376149579882623
11.819923,"Pressure (psi)",-0.4491392801251983
11.819932,"IMU Yaw Angle (deg)",-0.019792832091450694
11.822878,"Pressure (psi)",-0.4491392801251983
11.822885,"IMU Yaw Angle (deg)",-0.019792832091450694
11.82839,"Pressure (psi)",-0.4106583072100314
11.828408,"IMU Yaw Angle (deg)",-0.019792832091450694
11.832543,"Pressure (psi)",-0.4106583072100314
11.83255,"IMU Yaw Angle (deg)",-0.020246861815452575
11.83843,"Pressure (psi)",-0.4106583072100314
11.838592,"IMU Yaw Angle (deg)",-0.020246861815452575
11.842682,"Pressure (psi)",-0.4106583072100314
11.842689,"IMU Yaw Angle (deg)",-0.02110258036851883
11.84553,"Pressure (psi)",-0.4106583072100314
11.845537,"IMU Yaw Angle (deg)",-0.02110258036851883
11.848866,"Pressure (psi)",-0.4106583072100314
11.848873,"IMU Yaw Angle (deg)",-0.02110258036851883
11.852368,"Pressure (psi)",-0.4106583072100314
11.852379,"IMU Yaw Angle (deg)",-0.021511204585433007
11.860783,"Pressure (psi)",-0.4106583072100314
11.860791,"IMU Yaw Angle (deg)",-0.02180561698973179
11.871099,"Pressure (psi)",-0.4106583072100314
11.871515,"IMU Yaw Angle (deg)",-0.021955453231930735
